<<<<<<< Updated upstream
window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs
full,none,1,0,99,4,2,TRUE,98,25,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA
full,none,1,1,99,4,2,TRUE,98,25,TRUE,NA,-293.021865330315,8,642.1040030793849,622.8046894617067,TRUE,computed,642.1040030793849,622.8046894617067
full,none,1,2,99,4,2,TRUE,98,25,TRUE,NA,-284.1870709026882,16,680.4946866428863,641.8960594075298,TRUE,computed,680.4946866428863,641.8960594075298
full,none,1,3,99,4,2,TRUE,98,25,TRUE,NA,-281.5680397661124,24,731.3168967884897,673.418955935455,TRUE,computed,731.3168967884897,673.418955935455
full,none,2,0,99,4,3,TRUE,97,30,TRUE,NA,NA,16,NA,NA,TRUE,missing,NA,NA
full,none,2,1,99,4,3,TRUE,97,30,TRUE,NA,-280.7108665416023,24,729.6025503394694,671.7046094864347,TRUE,computed,729.6025503394694,671.7046094864347
full,none,2,2,99,4,3,TRUE,97,30,TRUE,NA,-271.67471279048857,32,767.5905152559969,690.393260785284,TRUE,computed,767.5905152559969,690.393260785284
full,none,2,3,99,4,3,TRUE,97,30,TRUE,NA,-270.1526282603627,40,820.6066186145001,724.110050526109,TRUE,computed,820.6066186145001,724.110050526109
full,none,3,0,99,4,4,TRUE,96,35,TRUE,NA,NA,32,NA,NA,TRUE,missing,NA,NA
full,none,3,1,99,4,4,TRUE,96,35,TRUE,NA,-267.74938632696376,40,815.8001347477023,719.3035666593112,TRUE,computed,815.8001347477023,719.3035666593112
full,none,3,2,99,4,4,TRUE,96,35,TRUE,NA,-261.6101375604851,48,859.5819096334999,743.7860279274305,TRUE,computed,859.5819096334999,743.7860279274305
full,none,3,3,99,4,4,TRUE,96,35,TRUE,NA,-259.7172406572621,56,911.8563882458088,776.7611929220612,TRUE,computed,911.8563882458088,776.7611929220612
full,none,4,0,99,4,5,TRUE,95,40,TRUE,NA,NA,48,NA,NA,FALSE,missing,NA,NA
full,none,4,1,99,4,5,TRUE,95,40,TRUE,NA,-256.14402634682074,56,904.7099596249261,769.6147643011785,FALSE,computed,904.7099596249261,769.6147643011785
full,none,4,2,99,4,5,TRUE,95,40,TRUE,NA,-250.783304218129,64,950.0487877862976,795.6542788448717,FALSE,computed,950.0487877862976,795.6542788448717
full,none,4,3,99,4,5,TRUE,95,40,TRUE,NA,-249.01308199329972,72,1002.5686157553939,828.8747931962898,FALSE,computed,1002.5686157553939,828.8747931962898
full,none,5,0,99,4,6,TRUE,94,45,TRUE,NA,NA,64,NA,NA,FALSE,missing,NA,NA
full,none,5,1,99,4,6,TRUE,94,45,TRUE,NA,-235.61547378675758,72,975.7733993423096,802.0795767832055,FALSE,computed,975.7733993423096,802.0795767832055
full,none,5,2,99,4,6,TRUE,94,45,TRUE,NA,-229.08663144875868,80,1018.7759870850668,825.7828509082846,FALSE,computed,1018.7759870850668,825.7828509082846
full,none,5,3,99,4,6,TRUE,94,45,TRUE,NA,-227.0745750675566,88,1070.8121467414176,858.5196969469571,FALSE,computed,1070.8121467414176,858.5196969469571
full,none,6,0,99,4,7,TRUE,93,50,TRUE,NA,NA,80,NA,NA,FALSE,missing,NA,NA
full,none,6,1,99,4,7,TRUE,93,50,TRUE,NA,-211.20117177190124,88,1039.065340150107,826.7728903556464,FALSE,computed,1039.065340150107,826.7728903556464
full,none,6,2,99,4,7,TRUE,93,50,TRUE,NA,-204.77300066528312,96,1082.2692703556254,850.6775069434868,FALSE,computed,1082.2692703556254,850.6775069434868
full,none,6,3,99,4,7,TRUE,93,50,TRUE,NA,-202.66680286904142,104,1134.117147181897,883.2260701520802,FALSE,computed,1134.117147181897,883.2260701520802
full,none,7,0,99,4,8,TRUE,92,55,TRUE,NA,NA,96,NA,NA,FALSE,missing,NA,NA
full,none,7,1,99,4,8,TRUE,92,55,TRUE,NA,-187.1114975139749,104,1103.006536471764,852.1154594419472,FALSE,computed,1103.006536471764,852.1154594419472
full,none,7,2,99,4,8,TRUE,92,55,TRUE,NA,-176.20523752147827,112,1137.2542889055258,867.0638982580306,FALSE,computed,1137.2542889055258,867.0638982580306
full,none,7,3,99,4,8,TRUE,92,55,TRUE,NA,-173.77994496977803,120,1188.46397622088,898.9742719557069,FALSE,computed,1188.46397622088,898.9742719557069
full,const,1,0,99,4,2,TRUE,98,30,TRUE,NA,NA,4,NA,NA,TRUE,missing,NA,NA
full,const,1,1,99,4,2,TRUE,98,30,TRUE,NA,-297.0805827150882,12,678.2515740583088,649.3026036317915,TRUE,computed,678.2515740583088,649.3026036317915
full,const,1,2,99,4,2,TRUE,98,30,TRUE,NA,-286.5161355007436,20,713.1829520483745,664.934668004179,TRUE,computed,713.1829520483745,664.934668004179
full,const,1,3,99,4,2,TRUE,98,30,TRUE,NA,-283.3751958450144,28,762.9613451556711,695.4137474937972,TRUE,computed,762.9613451556711,695.4137474937972
full,const,2,0,99,4,3,TRUE,97,35,TRUE,NA,NA,20,NA,NA,TRUE,missing,NA,NA
full,const,2,1,99,4,3,TRUE,97,35,TRUE,NA,-285.1662365020768,28,766.5434264697959,698.9958288079222,TRUE,computed,766.5434264697959,698.9958288079222
full,const,2,2,99,4,3,TRUE,97,35,TRUE,NA,-274.2550137650795,36,800.7812534145563,713.9343421350043,TRUE,computed,800.7812534145563,713.9343421350043
full,const,2,3,99,4,3,TRUE,97,35,TRUE,NA,-271.3997247934601,44,851.1309478900724,744.9847229928422,TRUE,computed,851.1309478900724,744.9847229928422
full,const,3,0,99,4,4,TRUE,96,40,TRUE,NA,NA,36,NA,NA,TRUE,missing,NA,NA
full,const,3,1,99,4,4,TRUE,96,40,TRUE,NA,-272.1182610504476,44,852.5680204040474,746.4217955068171,TRUE,computed,852.5680204040474,746.4217955068171
full,const,3,2,99,4,4,TRUE,96,40,TRUE,NA,-264.30630511523697,52,893.0043809523811,767.5588424374725,TRUE,computed,893.0043809523811,767.5588424374725
full,const,3,3,99,4,4,TRUE,96,40,TRUE,NA,-261.18471580514563,60,942.8214747509533,798.0766226183666,TRUE,computed,942.8214747509533,798.0766226183666
full,const,4,0,99,4,5,TRUE,95,45,TRUE,NA,NA,52,NA,NA,FALSE,missing,NA,NA
full,const,4,1,99,4,5,TRUE,95,45,TRUE,NA,-259.9619089894035,60,940.3758611194692,795.6310089868824,FALSE,computed,940.3758611194692,795.6310089868824
full,const,4,2,99,4,5,TRUE,95,45,TRUE,NA,-253.15858247750523,68,982.8294805144276,818.7853147641626,FALSE,computed,982.8294805144276,818.7853147641626
full,const,4,3,99,4,5,TRUE,95,45,TRUE,NA,-250.083285923515,76,1032.739159825202,849.3956804572588,FALSE,computed,1032.739159825202,849.3956804572588
full,const,5,0,99,4,6,TRUE,94,50,TRUE,NA,NA,68,NA,NA,FALSE,missing,NA,NA
full,const,5,1,99,4,6,TRUE,94,50,TRUE,NA,-239.30985388669473,76,1011.1922957515615,827.8488163836182,FALSE,computed,1011.1922957515615,827.8488163836182
full,const,5,2,99,4,6,TRUE,94,50,TRUE,NA,-232.7445724072019,84,1054.1220052113306,851.4792122257093,FALSE,computed,1054.1220052113306,851.4792122257093
full,const,5,3,99,4,6,TRUE,94,50,TRUE,NA,-228.51226758080162,92,1101.7176679772851,879.7755613739855,FALSE,computed,1101.7176679772851,879.7755613739855
full,const,6,0,99,4,7,TRUE,93,55,TRUE,NA,NA,84,NA,NA,FALSE,missing,NA,NA
full,const,6,1,99,4,7,TRUE,93,55,TRUE,NA,-218.02329289687933,92,1080.7397186094406,858.797612006141,FALSE,computed,1080.7397186094406,858.797612006141
full,const,6,2,99,4,7,TRUE,93,55,TRUE,NA,-210.79126923724417,100,1122.3359437089252,881.0945234879473,FALSE,computed,1122.3359437089252,881.0945234879473
full,const,6,3,99,4,7,TRUE,93,55,TRUE,NA,-204.41459397091583,108,1165.6428655950235,905.1021317563674,FALSE,computed,1165.6428655950235,905.1021317563674
full,const,7,0,99,4,8,TRUE,92,60,TRUE,NA,NA,100,NA,NA,FALSE,missing,NA,NA
full,const,7,1,99,4,8,TRUE,92,60,TRUE,NA,-196.61305256605272,108,1150.0397827852971,889.4990489466411,FALSE,computed,1150.0397827852971,889.4990489466411
full,const,7,2,99,4,8,TRUE,92,60,TRUE,NA,-181.65627681368173,116,1176.1865036993102,896.3464562429758,FALSE,computed,1176.1865036993102,896.3464562429758
full,const,7,3,99,4,8,TRUE,92,60,TRUE,NA,-175.34197269949982,124,1219.6181678897015,920.4788068156888,FALSE,computed,1219.6181678897015,920.4788068156888
fordism,none,1,0,49,4,2,TRUE,48,25,TRUE,NA,NA,0,NA,NA,TRUE,missing,NA,NA
