"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","ICOMP_Misspec","admissible","converged","rank_ok","stable","boundsJo_stat","boundsJo_cval","max_eig_mod","theta_hat","alpha_y","alpha_k","s_K","m","r","d","h","failed","error_msg","spec_idx","spec_id"
1,"d0","d0","h0",-551.743569717266,2,64,275.871784858633,-547.743569717266,-543.425803550546,-546.04258352268,-547.54684840579,-551.000885936626,NA,FALSE,TRUE,FALSE,TRUE,12.5070408517588,17.95,1,0.833215572608332,0.0631524137638955,0.0830403135699933,NA,2,1,"d0","h0",FALSE,"",1,"p1_d0_h0"
1,"d0","d0","h1",-559.593132282812,4,64,279.796566141406,-551.593132282812,-542.957599949374,-548.191159893641,-550.915166181117,-554.758998446182,NA,TRUE,TRUE,TRUE,TRUE,24.9209072094833,17.95,1,0.88943101622145,0.125779967135829,0.181501358468261,NA,2,1,"d0","h1",FALSE,"",2,"p1_d0_h1"
1,"d0","d0","h2",-566.151026293433,8,64,283.075513146717,-550.151026293433,-532.879961626556,-543.347081515091,-547.532844475252,-552.739152473624,NA,TRUE,TRUE,TRUE,TRUE,24.8021723706365,17.95,1,0.900576433357368,0.0920352130684085,0.193961907786906,NA,2,1,"d0","h2",FALSE,"",3,"p1_d0_h2"
1,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"non-conformable arguments",4,"p1_d1_h0"
1,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"non-conformable arguments",5,"p1_d1_h1"
1,"d1","d1","h2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h2",TRUE,"non-conformable arguments",6,"p1_d1_h2"
1,"d2","d2","h0",-557.167364127979,4,64,278.583682063989,-549.167364127979,-540.53183179454,-545.765391738808,-548.489398026284,-545.797403071259,NA,FALSE,TRUE,FALSE,TRUE,12.5070408517588,17.95,1,0.805646311138662,-0.02890841058826,0.110201088122292,NA,2,1,"d2","h0",FALSE,"",7,"p1_d2_h0"
1,"d2","d2","h1",-566.730261692748,6,64,283.365130846374,-554.730261692748,-541.77696319259,-549.627303108991,-553.256577482221,-550.154066471441,NA,TRUE,TRUE,TRUE,TRUE,24.9209072094833,17.95,1,0.878406421450449,-0.0681041100780327,0.158830573918132,NA,2,1,"d2","h1",FALSE,"",8,"p1_d2_h1"
1,"d2","d2","h2",-571.460456442709,10,64,285.730228221355,-551.460456442709,-529.871625609113,-542.955525469781,-547.309513046483,-547.125781655121,NA,TRUE,TRUE,TRUE,TRUE,24.8021723706365,17.95,1,0.867696954597317,-0.0566708106944054,0.168522210583487,NA,2,1,"d2","h2",FALSE,"",9,"p1_d2_h2"
1,"d3","d3","h0",-565.591643003195,6,64,282.795821501597,-553.591643003195,-540.638344503037,-548.488684419438,-552.117958792669,-508.984855613392,NA,FALSE,TRUE,FALSE,TRUE,12.5070408517588,17.95,1,-1.23111542946692,-0.173106097502756,0.00965790615184466,NA,2,1,"d3","h0",FALSE,"",10,"p1_d3_h0"
1,"d3","d3","h1",-568.7753929939,8,64,284.38769649695,-552.7753929939,-535.504328327023,-545.971448215558,-550.157211175719,-512.124000799992,NA,TRUE,TRUE,TRUE,TRUE,24.9209072094833,17.95,1,0.168119873245883,-0.177681224879003,0.0925061704597641,NA,2,1,"d3","h1",FALSE,"",11,"p1_d3_h1"
1,"d3","d3","h2",-575.937243856412,12,64,287.968621928206,-551.937243856412,-526.030646856096,-541.731326688899,-545.819596797588,-494.950494103967,NA,TRUE,TRUE,TRUE,TRUE,24.8021723706365,17.95,1,-0.200053333258748,-0.230120657472202,0.0666658953351163,NA,2,1,"d3","h2",FALSE,"",12,"p1_d3_h2"
2,"d0","d0","h0",-549.969022169497,6,63,274.984511084748,-537.969022169497,-525.110213811148,-532.911589990193,-536.469022169497,-535.820062340723,NA,FALSE,TRUE,FALSE,TRUE,12.5070408517588,17.95,0.999999999999988,0.829693276216407,0.0928357065211057,0.0845144820914629,NA,2,1,"d0","h0",FALSE,"",13,"p2_d0_h0"
2,"d0","d0","h1",-558.133777041489,8,63,279.066888520745,-542.133777041489,-524.988699230357,-535.390534135751,-539.467110374823,-536.275265036504,NA,TRUE,TRUE,TRUE,TRUE,24.9209072094833,17.95,0.999999999999998,0.889680590773037,0.180172315254758,0.218822743242011,NA,2,1,"d0","h1",FALSE,"",14,"p2_d0_h1"
2,"d0","d0","h2",-565.583834031179,12,63,282.791917015589,-541.583834031179,-515.86621731448,-531.468969672571,-535.343834031179,-528.610317201168,NA,TRUE,TRUE,TRUE,TRUE,24.8021723706365,17.95,1,0.899803940597523,0.145895515070642,0.24435261744802,NA,2,1,"d0","h2",FALSE,"",15,"p2_d0_h2"
2,"d1","d1","h0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h0",TRUE,"non-conformable arguments",16,"p2_d1_h0"
2,"d1","d1","h1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,"d1","h1",TRUE,"non-conformable arguments",17,"p2_d1_h1"
