"check_id","required_condition","observed_value","passed","tolerance","notes"
"fragility_flag_true","fragility_flag = TRUE","TRUE",TRUE,,"Checked path tables, registers, and reconstruction manifest."
"s40_admissibility_status","s40_admissibility_status = admissible_restricted_b1_under_fragility","admissible_restricted_b1_under_fragility",TRUE,,""
"dols_reconstruction_basis_false","dols_reconstruction_basis = FALSE","FALSE",TRUE,,""
"dols_veto_false","dols_veto = FALSE","FALSE",TRUE,,""
"mu_formula","mu_formula = Y_real / Yp","Y_real / Yp",TRUE,,""
"anchor_type","anchor_type = point_year_external_pinch","point_year_external_pinch",TRUE,,""
"anchor_year","anchor_year = 1973","1973",TRUE,,""
"anchor_value","anchor_value = 1","1",TRUE,1e-04,""
"mu_1973","mu_t[year == 1973] = 1 within tolerance","1",TRUE,1e-04,""
"all_mu_finite","all mu_t values finite","96/96 finite",TRUE,,""
"mu_nonpathological","diagnostic guardrail: 0 < mu_t < 2.5","range=0.632100221907304-1.21521152830197",TRUE,,"Diagnostic guardrail only; not a theoretical restriction on utilization."
"all_yp_positive_finite","all Yp values positive and finite","96/96 positive finite",TRUE,,""
"no_profitability_variables","no profitability variables","profitability_columns_detected=FALSE; manifest_profitability_computed=FALSE",TRUE,,""
"no_chile_outputs","no Chile outputs","manifest_chile_outputs_touched=FALSE",TRUE,,""
"hard_prohibitions_violated","hard_prohibitions_violated = FALSE","FALSE",TRUE,,""
